Attack_ID,Company_Name,Industry,Country,Attack_Date,Ransomware_Group,Attack_Vector,Ransom_Amount_USD,Payment_Status,Data_Exfiltration,Downtime_Days,Records_Affected,Estimated_Total_Loss_USD,Severity_Score
RA-100000,Mcdonald-Smith,Government,United Kingdom,2024-08-02,BlackCat,Drive-by Download,938912,Paid,No,2,2307213,1462487,3.55
RA-100001,Lopez and Sons,Transportation,Japan,2021-03-07,LockBit,Credential Theft,254957,Not Paid,No,6,1834168,752882,2.99
RA-100002,Anthony Group,Healthcare,United Kingdom,2022-03-28,Ryuk,Malicious Attachment,3773238,Negotiated,Yes,38,2333732,5480736,11.81
RA-100003,"Rodriguez, Romero and Mills",Finance,Australia,2022-03-17,Maze,Credential Theft,2828559,Negotiated,Yes,7,778108,3635324,4.66
RA-100004,Brown LLC,Technology,South Africa,2025-02-03,Hive,Malicious Attachment,3858935,Negotiated,Yes,35,1047217,5803128,10.16
RA-100005,"Reed, Wilcox and Smith",Retail,South Africa,2024-12-13,Conti,Phishing Email,588470,Unknown,No,3,1911849,2219711,2.95
RA-100006,"Mann, Diaz and Davis",Government,Canada,2023-07-18,BlackCat,Credential Theft,3065434,Not Paid,Yes,11,3105403,3820490,7.82
RA-100007,Thomas-Dunn,Transportation,Germany,2021-12-01,Maze,Phishing Email,3882719,Not Paid,Yes,25,2264586,5833404,9.9
RA-100008,Farley-Leblanc,Government,Japan,2025-07-07,Maze,RDP Exploit,2651211,Unknown,No,26,2246073,2800018,8.8
RA-100009,"Mccarthy, Butler and Perry",Government,France,2025-12-17,Hive,Malicious Attachment,3854128,Unknown,No,10,2222075,4156954,7.58
RA-100010,"Kelly, Campbell and Dunn",Finance,United States,2023-01-12,BlackCat,RDP Exploit,1844795,Not Paid,No,9,4274316,2889772,7.47
RA-100011,Olson-Ellis,Energy,France,2024-05-06,REvil,Credential Theft,537909,Paid,Yes,25,3201354,1797577,7.49
RA-100012,Thomas-Hull,Manufacturing,South Africa,2024-10-28,REvil,Zero-Day Exploit,4509433,Not Paid,No,49,2238391,6131301,14.1
RA-100013,Mitchell Inc,Finance,Canada,2021-01-07,Hive,Credential Theft,2214467,Not Paid,Yes,33,1498740,3289152,8.66
RA-100014,Savage-Lamb,Healthcare,Japan,2023-02-05,Maze,Zero-Day Exploit,1360171,Paid,Yes,35,4449029,3296391,11.06
RA-100015,"Morgan, Bell and Rose",Hospitality,South Africa,2023-01-14,BlackCat,Drive-by Download,2584615,Unknown,Yes,16,486011,3099759,5.47
RA-100016,Butler-Little,Energy,France,2025-04-07,Clop,Malicious Attachment,4473663,Unknown,Yes,50,1055055,4752919,13.03
RA-100017,"Carter, Brown and Parsons",Manufacturing,Brazil,2024-01-10,Hive,Zero-Day Exploit,1692377,Paid,Yes,46,2614965,2539124,11.21
RA-100018,Morris Ltd,Transportation,Germany,2022-04-06,Akira,RDP Exploit,542088,Paid,Yes,22,176548,1785860,4.02
RA-100019,Stephenson and Sons,Healthcare,Australia,2024-12-20,BlackCat,Credential Theft,498868,Not Paid,No,15,565494,2407671,3.31
RA-100020,Graves-Frederick,Hospitality,Japan,2024-10-02,DarkSide,RDP Exploit,4076951,Unknown,No,14,4523522,4364429,10.7
RA-100021,Eaton-Cunningham,Technology,India,2022-01-25,DarkSide,Drive-by Download,796262,Paid,Yes,7,3616019,1549277,5.46
RA-100022,Brown LLC,Finance,Germany,2021-05-05,Conti,RDP Exploit,3382432,Unknown,Yes,47,2846376,5071396,13.28
RA-100023,"Fisher, Smith and Brown",Finance,Brazil,2023-05-15,Hive,Phishing Email,1544209,Paid,Yes,18,3880905,2078091,8.13
RA-100024,"Murphy, Mendoza and Brandt",Energy,Germany,2021-07-11,Ryuk,Phishing Email,1987894,Not Paid,No,11,3409348,3016357,7.05
RA-100025,Cooke-Jones,Technology,France,2021-01-05,DarkSide,RDP Exploit,3280095,Not Paid,No,17,3816986,3888305,9.65
RA-100026,Nelson and Sons,Manufacturing,United States,2022-03-22,LockBit,Credential Theft,495593,Unknown,Yes,38,4548363,633430,10.74
RA-100027,Johnson Inc,Hospitality,South Africa,2021-04-27,Conti,Zero-Day Exploit,4264974,Paid,Yes,6,1558912,4418673,6.72
RA-100028,Joyce PLC,Hospitality,Japan,2024-03-31,Hive,Malicious Attachment,4992188,Negotiated,Yes,3,687826,5881366,6.13
RA-100029,Rodriguez-Howe,Education,Canada,2024-10-03,DarkSide,Malicious Attachment,2640565,Paid,Yes,16,2228236,3480588,7.27
RA-100030,"Murray, Hawkins and Gallagher",Government,France,2023-07-28,REvil,RDP Exploit,4727732,Negotiated,Yes,7,614655,5865233,6.39
RA-100031,"May, David and Jacobs",Energy,France,2025-12-06,REvil,Credential Theft,2054206,Paid,No,24,2390747,2395025,8.04
RA-100032,Jenkins LLC,Finance,South Africa,2024-09-20,Hive,RDP Exploit,873946,Negotiated,No,57,1126615,1438571,10.55
RA-100033,Schmidt-Allen,Retail,France,2024-05-23,DarkSide,Malicious Attachment,1771889,Paid,Yes,46,2876388,2208863,11.55
RA-100034,Smith-Walker,Healthcare,Australia,2024-07-23,Clop,Drive-by Download,3558211,Negotiated,Yes,54,2321061,3660667,13.98
RA-100035,Torres PLC,Healthcare,South Africa,2025-02-27,BlackCat,Drive-by Download,3711384,Not Paid,Yes,36,3587797,4897690,12.7
RA-100036,Conner PLC,Technology,United Kingdom,2025-09-06,LockBit,Malicious Attachment,3102208,Negotiated,Yes,38,4635016,3422783,13.44
RA-100037,Sheppard-Lee,Finance,Australia,2026-01-15,Hive,Zero-Day Exploit,3006521,Not Paid,Yes,14,2093307,4415181,7.2
RA-100038,Fleming Group,Technology,United States,2025-11-06,Clop,Drive-by Download,1368163,Negotiated,No,52,1485322,3226626,10.65
RA-100039,Caldwell Ltd,Finance,India,2025-07-01,LockBit,Zero-Day Exploit,2086777,Not Paid,Yes,18,1335548,3748021,6.12
RA-100040,Holland PLC,Government,Germany,2025-07-31,LockBit,Drive-by Download,3866303,Not Paid,No,23,2560226,5597092,9.88
RA-100041,"Stephenson, Booth and Johnson",Retail,Australia,2022-11-04,Hive,Zero-Day Exploit,2342091,Negotiated,Yes,56,582443,3973874,11.32
RA-100042,Brown LLC,Healthcare,South Africa,2021-08-25,Akira,Zero-Day Exploit,2196231,Negotiated,No,12,4870439,2762954,8.87
RA-100043,Henry Group,Hospitality,Germany,2023-06-13,REvil,Phishing Email,4295127,Unknown,Yes,8,3231353,6191525,8.73
RA-100044,Brown-Carter,Technology,South Africa,2023-12-01,Maze,Credential Theft,4521862,Negotiated,Yes,44,1652950,5295689,12.77
RA-100045,Davis-Martinez,Technology,Australia,2025-01-14,Ryuk,Drive-by Download,2524285,Negotiated,Yes,33,2594567,3932860,10.07
RA-100046,Torres-Glover,Education,Japan,2022-01-28,Akira,Malicious Attachment,3531959,Unknown,Yes,43,3180601,4962397,13.16
RA-100047,Patel Ltd,Hospitality,Japan,2022-09-15,Maze,Zero-Day Exploit,2411806,Unknown,No,14,3606263,4069661,8.12
RA-100048,Wade-Steele,Education,South Africa,2024-10-15,REvil,Credential Theft,1797657,Negotiated,Yes,33,3969473,3472240,10.72
RA-100049,Horn Inc,Government,United Kingdom,2025-08-04,LockBit,Phishing Email,1975220,Not Paid,No,44,2604087,2456325,11.18
RA-100050,Long Inc,Hospitality,Germany,2024-06-05,Ryuk,Zero-Day Exploit,615927,Unknown,Yes,30,3476683,2484290,8.59
RA-100051,Edwards Ltd,Technology,Germany,2021-10-30,Clop,Drive-by Download,51513,Unknown,Yes,58,894219,1693978,9.65
RA-100052,Miller-Donovan,Education,Brazil,2024-02-16,Hive,Credential Theft,2095426,Negotiated,No,59,1018129,3062695,11.96
RA-100053,Howard LLC,Education,Brazil,2024-06-08,DarkSide,Malicious Attachment,4239386,Not Paid,No,28,4595983,5184534,13.04
RA-100054,Huff-Reyes,Energy,South Africa,2025-04-18,REvil,RDP Exploit,4377979,Negotiated,No,32,2007039,4963851,11.19
RA-100055,"Adkins, Peterson and Sutton",Government,India,2022-10-17,Clop,Drive-by Download,4536125,Not Paid,Yes,6,1160865,4862439,6.6
RA-100056,Rich Ltd,Technology,United States,2023-04-30,Conti,Zero-Day Exploit,3424191,Unknown,Yes,22,4551852,4411305,11.28
RA-100057,Kirk-Miller,Manufacturing,Canada,2025-10-21,Ryuk,Zero-Day Exploit,4834240,Not Paid,No,25,4001296,4856604,12.59
RA-100058,"Mills, Pena and Simmons",Technology,Australia,2022-03-26,Ryuk,Drive-by Download,2294547,Not Paid,No,28,4073960,2365416,10.57
RA-100059,"Shaw, Hines and Benton",Technology,Japan,2026-02-27,Akira,Drive-by Download,1075619,Paid,Yes,40,4480653,1142171,11.56
RA-100060,Williams and Sons,Healthcare,Canada,2024-08-09,Ryuk,Malicious Attachment,3600464,Not Paid,No,9,3873107,3991577,8.82
RA-100061,"Jackson, Allison and Johnson",Technology,Canada,2022-11-01,BlackCat,Zero-Day Exploit,2836159,Paid,Yes,49,3180441,3429705,13.37
RA-100062,"Baker, Barrera and Houston",Healthcare,United States,2022-12-18,Conti,RDP Exploit,1885911,Paid,Yes,42,575712,3534275,8.76
RA-100063,"Jones, Burgess and Martin",Government,Brazil,2022-05-04,REvil,Malicious Attachment,1063818,Not Paid,Yes,31,959668,2256547,6.67
RA-100064,Rodriguez-Noble,Healthcare,Canada,2025-05-12,Akira,Drive-by Download,1378767,Unknown,No,20,906898,2602356,5.29
RA-100065,Wilkins-Hawkins,Government,South Africa,2025-01-04,REvil,Drive-by Download,1668710,Paid,Yes,5,4966976,3127033,7.39
RA-100066,Newton-Griffin,Transportation,Australia,2022-12-13,LockBit,Zero-Day Exploit,4473991,Unknown,Yes,28,3108673,4628603,11.78
RA-100067,Jones-Harmon,Education,India,2023-06-07,Clop,Drive-by Download,3043253,Negotiated,No,41,3856673,4536586,13.05
RA-100068,Gibson Group,Manufacturing,Germany,2023-08-11,BlackCat,Malicious Attachment,3658863,Unknown,Yes,53,4970137,4231729,16.58
RA-100069,"Cox, Harris and Rivera",Healthcare,Brazil,2025-03-17,Maze,RDP Exploit,3903257,Unknown,Yes,37,3179292,4618731,12.63
RA-100070,Travis-Reynolds,Hospitality,Canada,2022-12-28,Hive,Phishing Email,2172217,Not Paid,Yes,22,2346045,4028381,7.82
RA-100071,Gross-Rodriguez,Government,Brazil,2022-05-10,DarkSide,Zero-Day Exploit,3414366,Paid,Yes,32,4657255,5014352,12.87
RA-100072,Simon-Fitzpatrick,Hospitality,Australia,2022-08-26,DarkSide,Credential Theft,1863885,Negotiated,No,26,2041091,2516045,7.8
RA-100073,Myers Group,Energy,Canada,2025-03-08,REvil,Malicious Attachment,4621993,Not Paid,Yes,22,2951300,6105986,10.87
RA-100074,"Valdez, Walton and Foster",Transportation,United Kingdom,2025-01-17,Conti,RDP Exploit,1620514,Unknown,No,21,1002997,3188448,5.77
RA-100075,Lewis-Harrington,Retail,South Africa,2025-01-23,Conti,Malicious Attachment,4950813,Not Paid,No,49,4401073,6212373,16.7
RA-100076,Dickerson-Griffin,Retail,United States,2022-01-03,LockBit,Credential Theft,2540604,Negotiated,Yes,1,4480749,2816067,7.17
RA-100077,"Garcia, Thompson and Gay",Retail,Brazil,2024-07-30,DarkSide,Zero-Day Exploit,4122788,Negotiated,Yes,7,102989,5336687,5.28
RA-100078,Hardin and Sons,Finance,India,2021-04-16,DarkSide,Phishing Email,2122942,Paid,Yes,56,4007582,2372200,14.53
RA-100079,"Madden, Mann and Wright",Finance,France,2021-11-02,Ryuk,Credential Theft,4726440,Not Paid,No,20,714649,5256934,8.44
RA-100080,Harris-Green,Retail,Japan,2023-07-12,Akira,Phishing Email,3718812,Paid,Yes,20,4937006,4628133,11.66
RA-100081,Allen-Ellis,Government,United Kingdom,2024-07-05,Hive,Phishing Email,1775207,Not Paid,Yes,17,681149,2114579,5.01
RA-100082,Ortiz PLC,Retail,United States,2023-04-17,Conti,Malicious Attachment,3784098,Negotiated,No,45,4981349,4779575,15.52
RA-100083,"Morgan, Jones and Arnold",Hospitality,Germany,2021-05-26,Ryuk,Phishing Email,1963100,Not Paid,Yes,60,2219345,3625295,13.18
RA-100084,Smith and Sons,Healthcare,United Kingdom,2026-02-04,REvil,Credential Theft,2233286,Negotiated,No,53,1193264,2393043,11.38
